source_mlo,unified_mlo,source_dbs,annotations
RPSA-VIM-ENO Condensate,viral_factory,CDCODE,3
RdRp condensates,viral_factory,CDCODE,3
LANA body,viral_factory,CDCODE,2
Viral Factory,viral_factory,CDCODE,2
Cytoplasmic virion assembly compartment,viral_factory,PhaSepDB,1
Virion assembly compartment,viral_factory,PhaSepDB,1
Viroplasm,viroplasm,PhaSepDB,23
GCRV viroplasm,viroplasm,CDCODE,13
viroplasm,viroplasm,PhasePro,3
WNK body,wnk_body,CDCODE,4
Beta-Catenin Destruction Complex,wnt_destruction_complex,CDCODE,6
Destruction complex condensate,wnt_destruction_complex,PhaSepDB,6
Wnt signalodroplet,wnt_signaling_condensate,PhaSepDB,4
LEF1/Beta-catenin condensate,wnt_signaling_condensate,CDCODE,2
DVL2 condensates,wnt_signaling_condensate,CDCODE,1
Dishevelled condensate,wnt_signaling_condensate,CDCODE,1
Dvl2 condensate,wnt_signaling_condensate,PhaSepDB,1
Yb body,yb_body,"PhaSepDB,PhasePro",5
Yb-body,yb_body,CDCODE,4
Z granule,z_granule,PhaSepDB,48
Z-granule,z_granule,CDCODE,3
Junctional condensate,zo_protein_compartment,CDCODE,5
