accesion_obsoleta,accesion_vigente,motivo
F1LN59,Q5BJU2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F5GY65,Q02978,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F5GYZ3,Q15233,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F5H1S2,P26373,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F5H5W3,P50991,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F8VTJ5,Q8TAQ2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F8W720,P49915,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F8W7P3,P35030,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
F8W8G1,P30154,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
G3V1C3,Q9BZZ5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
G3V1R4,Q08J23,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
G8JLD5,O00429,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O02916,Q9BWF3,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O14547,Q6P2Q9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O14897,Q8NE71,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O15441,Q9BZZ5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O43328,Q1ED39,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
O75992,Q68CQ4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
P29043,P50454,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
P35544,P62861,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q07161,P62136,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q12803,Q08211,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q12987,Q5QJE6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q14281,Q7L1Q6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q14981,Q14980,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q16051,Q14527,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q2TU79,Q9P2J5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q5SZ07,P51858,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q5SZ08,P51858,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q7Z481,Q9Y2L1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q7Z5E3,O75367,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q7Z638,Q5BKZ1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q86T58,Q9H2Y7,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q86UC4,Q9BXY0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q86VM3,Q9BQG0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IU69,Q8IUF8,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IUK7,P02768,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IVL9,Q9P258,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IVR9,Q9Y3A4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IW16,Q96MG7,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IWG8,Q5T3I0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IY12,Q96SB4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IYH0,Q8NHQ9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8IYI9,Q05D32,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8K3G7,Q99P72,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8N0W8,Q5BKY9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8N417,Q68D10,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8N935,Q52LJ0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8N9E5,Q16666,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8NB06,P19338,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8NBE6,O75643,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8NCD9,Q969X6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8NEP4,O43236,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8NHS8,P78345,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8TB66,Q9BYG3,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8TBR6,P78316,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8TCV6,P23527,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8TDY0,Q9NXF1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8TEZ1,Q9H6R4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8WUY5,Q2NL82,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8WUZ1,O76021,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8WV53,Q9NUQ6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8WVB8,Q9NRX1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q8WXZ8,Q9H9Y2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96A52,Q13428,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96A78,Q12788,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96AT5,Q13601,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96B52,P42771,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96CL3,Q8WXE1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96DK2,Q8NEF9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96E87,Q5JTH9,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96E91,Q9H8H2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96FD2,Q9Y314,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96FJ1,Q9BXS6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96FT1,Q8IZL8,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96G92,Q8N9T8,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96I08,Q5C9Z4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96J10,Q8IWA0,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96J95,Q15020,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96JD3,Q5VTR2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96JN4,Q14004,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96JY7,Q9NV06,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96LC1,O60506,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96PK5,Q96PK6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96QJ8,Q9NWT1,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96SS3,Q96C01,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q96TA6,Q8TBF4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BPV9,Q9UKD2,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BPY6,Q9Y4C8,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BRC9,Q6RFH5,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BRF6,Q96EU6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BUT3,Q6IBW4,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BVP6,O00148,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
Q9BW93,Q7LBC6,MERGED segun uniprot_cache.db (inactiveReason.mergeDemergeTo); ambas accesiones estaban en proteins
