experimental_system,n_evidence_rows
Affinity Capture-MS,575430
Proximity Label-MS,164577
Affinity Capture-Western,65402
Affinity Capture-RNA,42816
Reconstituted Complex,37178
Biochemical Activity,13859
PCA,5912
Co-purification,4649
FRET,2125
Co-crystal Structure,1910
