experimental_system,n_weak_pairs
Affinity Capture-MS,459270
Proximity Label-MS,134871
Affinity Capture-RNA,39383
Reconstituted Complex,8200
PCA,3692
Biochemical Activity,3445
Co-purification,1893
Affinity Capture-Western,1034
FRET,692
