pubmed_id,n_weak_evidence_rows
33961781,71550
34079125,25337
28514442,22747
26496610,21758
35271311,18850
26186194,13265
32877691,11426
40355756,11119
31586073,8183
37968396,7605
37827155,7483
24981860,6812
31062022,6662
35140242,5491
32707033,5208
