"C-mod name","Biomolecular Type","Condensates","Phenotypic Class","PMID"
"FLU","small molecule","DEE660B4","dissolver","40306108"
"Fluspirilene","small molecule","DEE660B4","localizer","39708056"
"Forsythoside B","natural product","6ECDA717","dissolver","39818366"
"Furoxan","small molecule","940DCD6E","inducer","34251416"
"G007-LK","small molecule","7FF4107C","inducer","26930278"
"G3BP1 190-208 CPP","peptide","DEE660B4","dissolver","40014573"
"G3Ia","small molecule","DEE660B4","dissolver","38284934"
"G3Ib","small molecule","DEE660B4","dissolver","38284934"
"(-)-Gallocatechin gallate","natural product","38D1B6BE","dissolver","33837182"
"(− )-Gallocatechin gallate","natural compound","38D1B6BE","dissolver","40086356"
"Ganetespib","small molecule","940DCD6E","inducer","34251416"
"GCTR","small molecule","03D56D03","dissolver","38507972"
"GDC-0980","small molecule","923DEEBC","dissolver","34251416"
"Gefitinib","small molecule","98C8800A| DEE660B4","inducer| unknown","37847732| 35433677"
"Geldanamycin","small molecule","232F8A39| 804901D1| DEE660B4| 940DCD6E| 03D56D03","dissolver| localizer| inducer| inducer|morpher","33738926| 38731625| 39040524| 34251416| 38545836"
"GKY20","peptide","38D1B6BE","morpher","38483823"
"GNE-493","small molecule","923DEEBC","dissolver","34251416"
"Gold nanoparticle–DNA","dna","DEE660B4","inducer","40944981"
"GQDs-Cl","other","DEE660B4","dissolver","38582774"
"Gramicidin","small molecule","940DCD6E","inducer","34251416"
"Graphene Quantum Dots","small molecule","DEE660B4","dissolver","39901566"
"Green Tea Polyphenols (GTP)","natural product","6ECDA717","dissolver| unknown","38365968"
"GSK","small molecule","DEE660B4","dissolver","40306108"
"GSK1059615","small molecule","1A18FFC4","dissolver","36099417"
"GSK2606414","small molecule","DEE660B4","dissolver","35935992"
"GSK-626616","small molecule","DEE660B4","inducer","29973724"
"GSK626616","small molecule","804901D1| DEE660B4","localizer| inducer| morpher","33738926| 23415227"
"GSK690693","small molecule","232F8A39","inducer","33586867"
"GSK8612","small molecule","DEE660B4","dissolver","40114316"
"GSK-J4","small molecule","38EC0B30","dissolver","38976739"
"GTPL6019","small molecule","923DEEBC","dissolver","34251416"
"Guanosine 12-mer","oligonucleotide","38D1B6BE","localizer","36748338"
"GW856553X","small molecule","923DEEBC","dissolver","34251416"
"Harmine","natural product","6F24707C| DEE660B4","dissolver| morpher","39258320| 23415227"
"Harringtonine","small molecule","DEE660B4","dissolver","38105199"
"Herbimycin A","small molecule","940DCD6E","inducer","34251416"
"HHS-166","small molecule","DEE660B4","dissolver","37159397"
"Histidine Au nanospheres","other","DEE660B4","inducer","39862843"
"HMS3229I17","small molecule","DEE660B4","morpher","23415227"
"Homoharringtonine","small molecule","19D3735D","inducer","41472850"
"Hydrogen sulfide","small molecule","DEE660B4","inducer","40202609"
"Ibrutinib","small molecule","DEE660B4","inducer","38014036"
"Icaritin","small molecule","DEE660B4","dissolver","38368261"
"IGS2.7","small molecule","DEE660B4","dissolver","38325718"
"IKK-2 inhibitor VI","small molecule","923DEEBC","dissolver","34251416"
"IKK inhibitor VII","small molecule","923DEEBC","dissolver","34251416"
"IL-1b","small molecule","437BC32B","inducer","38357697"
"Imatinib","small molecule","DEE660B4","dissolver","31735741"
"INK128","small molecule","1A18FFC4| 923DEEBC","dissolver","36099417| 34251416"
"Integrated Stress Response Inhibitor","small molecule","DEE660B4","dissolver| inducer","40281543| 40887259"
"ION363","oligonucleotide","C22D95C0","dissolver","35075293"
"Isoginkgetin","small molecule","DEE660B4","dissolver","38366783"
"ISRIB","small molecule","DEE660B4","dissolver","25719440"
"Ixazomib","small molecule","38D1B6BE","inducer","36795767"
"JAK3 inhibitor IV","small molecule","DEE660B4","morpher","23415227"
"JC19","small molecule","DEE660B4","inducer","38014036"
"JQ1","small molecule","38EC0B30","dissolver","32554597"
"K-252a","small molecule","923DEEBC","dissolver","34251416"
"Kanamycin A","small molecule","38D1B6BE","dissolver","33290746"
"KB2","fragment","DEE660B4","inducer","38014036"
"KB20","fragment","DEE660B4","inducer","38014036"
"KB23","fragment","DEE660B4","inducer","38014036"
"KB5","fragment","DEE660B4","inducer","38014036"
"KB7","fragment","DEE660B4","inducer","38014036"
"KU0063794","small molecule","923DEEBC","dissolver","34251416"
"KW-2449","small molecule","923DEEBC","dissolver","34251416"
"KX01","small molecule","940DCD6E","inducer","34251416"
"Lactimidomycin","small molecule","DEE660B4","dissolver","38105199"
"Laduviglusib","small molecule","38D1B6BE","inducer","36795767"
"Lapatinib","small molecule","DEE660B4","inducer","32365111"
"Latrunculin B","small molecule","940DCD6E","inducer","34251416"
"L-cysteine Au nanospheres","other","DEE660B4","inducer","39862843"
"LFM-A13","small molecule","DEE660B4","dissolver","35798143"
"Licochalcone B","small molecule","DEE660B4","dissolver|morpher","40930288"
"LL-III","peptide","38D1B6BE| 6ECDA717","morpher| inducer","38483823| 34165838"
"Lobeline","small molecule","DEE660B4","inducer","41053069"
"Lopinavir","small molecule","BE404912","inducer","38433354"
"Lorecivivint","small molecule","804901D1","inducer","31132406"
"Lorlatinib","small molecule","200B29C3","dissolver","34661367"
"L-penicillamine Au nanospheres","other","DEE660B4","inducer","39862843"
"LPS","small molecule","437BC32B","inducer","38357697"
"Lurbinectedin","small molecule","91857CE7","localizer","27697767| 35657345"
"LY2090314","small molecule","38D1B6BE","inducer","36795767"
"LY3023414","small molecule","1A18FFC4","dissolver","36099417"
"LY-83583","small molecule","940DCD6E","inducer","34251416"
"Lycorine","small molecule","923DEEBC","dissolver","34251416"
"Methylene blue","small molecule","03D56D03","inducer","37673952"
"MG132","small molecule","DEE660B4| 940DCD6E","inducer","27570075| 34251416"
"MI-2","small molecule","DEE660B4","localizer","36606141"
"MI-3","small molecule","DEE660B4","localizer","36606141"
"Mitoxantrone","small molecule","DEE660B4","dissolver","31272829| 40284406"
"MK.2206","small molecule","DEE660B4","unknown","35433677"
"Morusin","natural product","DEE660B4","inducer","32731602"
"MS023","small molecule","81D2A7B6| DEE660B4","inducer","39052476| 34029587"
"Myricetin","natural product","DEE660B4| 6ECDA717","dissolver| morpher","34560101| 35657723"
"NAL","small molecule","DEE660B4","dissolver","40306108"
"NB001","small molecule","DEE660B4","inducer","38014036"
"Netarsudil","small molecule","B5B9A610","inducer","41325773"
"NG25","small molecule","923DEEBC","dissolver","34251416"
"NIP-V","peptide","38D1B6BE","dissolver","34239064"
"NMS-873","small molecule","DEE660B4","inducer","33687997"
"Nobiletin","natural product","DEE660B4","dissolver","35631419"
"Nocodazole","small molecule","886620B0| 03D56D03","dissolver| inducer","28680096| 39032487"
"NS-1619","small molecule","940DCD6E","inducer","34251416"
"NSIP-III","peptide","38D1B6BE","dissolver","38172120"
"NU7441 + CLM","other","DEE660B4","localizer","33857636"
"Nusinersen","oligonucleotide","6F24707C","inducer","32612161"
"NVP-AUY922","small molecule","940DCD6E","inducer","34251416"
"NVP-BHG712","small molecule","923DEEBC","dissolver","34251416"
"ODN","small molecule","437BC32B","inducer","38357697"
"Olaparib","small molecule","A0DCDA94","inducer","36849518| 29992957"
"Oligomycin A","small molecule","550E224B","inducer","35975718"
"Olverembatinib","small molecule","38D1B6BE","dissolver","36795767"
"Oprozomib","small molecule","38D1B6BE","inducer","36795767"
"Osimertinib","small molecule","B5B9A610","inducer","41325773"
"OTSSP167","small molecule","923DEEBC","dissolver","34251416"
"Oxaliplatin","small molecule","91857CE7","localizer","31670961| 36351392"
"Oxibendazole","small molecule","940DCD6E","inducer","34251416"
"p38 MAPK inhibitor VIII","small molecule","923DEEBC","dissolver","34251416"
"Paclitaxel","small molecule","DEE660B4","inducer","34857678"
"Pactamycin","small molecule","DEE660B4","dissolver","38105199"
"Palbociclib","small molecule","DEE660B4","unknown","35433677"
"Pam2CSK4","small molecule","437BC32B","inducer","38357697"
"PARP14i","small molecule","DEE660B4","dissolver","39760726"
"Parthenolide","small molecule","940DCD6E","inducer","34251416"
"Pateamine A","natural product","DEE660B4","inducer","29258238"
"PAV-615","small molecule","D12E4DB9","dissolver","41440030"
"PCG","natural product","38EC0B30","inducer","35072011"
"PD 169316","small molecule","923DEEBC","dissolver","34251416"
"PD184352","small molecule","232F8A39","dissolver","37370689"
"PDGF receptor tyrosine kinase inhibitor III","small molecule","923DEEBC","dissolver","34251416"
"Penfluridol","small molecule","DEE660B4","dissolver","31272829"
"Penicillamine Au nanospheres","other","DEE660B4","inducer","39862843"
"perillaldehyde","natural product","DEE660B4","inducer","39951026"
"PH-797804","small molecule","923DEEBC","dissolver","34251416"
"Phillygenin","natural product","DEE660B4","inducer","35421804"
"PI-103","small molecule","1A18FFC4| 923DEEBC","dissolver","36099417| 34251416"
"PI-3Kα inhibitor IV","small molecule","923DEEBC","dissolver","34251416"
"Piceatannol","small molecule","DEE660B4","inducer","34432484"
"PIK-75","small molecule","1A18FFC4","dissolver","36099417"
"PIM447","small molecule","232F8A39","inducer","33586867"
"PJ34","small molecule","DEE660B4","localizer","29070863"
"PKI-402","small molecule","DEE660B4","inducer","38238825"
"PLB","small molecule","DEE660B4","dissolver","38366783"
"Polydeoxyribonucleotide","oligonucleotide","DEE660B4","dissolver","40343916"
"Polyhalogenated carbazoles","small molecule","B4E97D43","inducer","41064882"
"Ponatinib","small molecule","38D1B6BE","dissolver","36795767"
"PP242","small molecule","1A18FFC4","dissolver","36099417"
"PR-619","small molecule","DEE660B4","inducer","33687997"
"PROTAC (Proteolysis Targeting Chimera) degrader 129","small molecule","DEE660B4","dissolver","39710983"
"Pterostilbene","small molecule","DEE660B4","inducer","34432484"
"Pyridoxal hydrochloride","small molecule","DEE660B4","dissolver","40216204"
"Pyrvinium","small molecule","232F8A39| DEE660B4","dissolver| inducer","40247038| 31272829"
"Pyrvinium pamoate","small molecule","804901D1","morpher","38659924"
"Quercetin","natural product","DEE660B4","dissolver","40031974"
"R848","small molecule","437BC32B","inducer","38357697"
"Radicicol","small molecule","940DCD6E","inducer","34251416"
"Raloxifene","small molecule","DEE660B4","inducer","33203845"
"Raltitrexed","small molecule","6F24707C","dissolver|morpher","35151311"
"Rapamycin","natural product","718A9EC3| DEE660B4","dissolver| unknown","39536963| 35433677"
"RBN012579","small molecule","DEE660B4","dissolver","37873085"
"Resveratrol","small molecule","DEE660B4| D12E4DB9","inducer| dissolver","34432484| 41037255"
"RK-33","small molecule","DEE660B4","unknown","40863725"
"RK33","small molecule","DEE660B4","dissolver","33049245"
"(R)-lipoic acid","small molecule","DEE660B4","dissolver","37322067"
"RWJ-67657","small molecule","923DEEBC","dissolver","34251416"
"Salicylic acid","small molecule","9A8A194B","dissolver","40913711"
"Salvianolic acid A","small molecule","DEE660B4","dissolver","41349749"
"Salvianolic acid B","natural product","38D1B6BE","dissolver","36795767"
"SB2","small molecule","DEE660B4","dissolver","40306108"
"SB202190","small molecule","923DEEBC","dissolver","34251416"
"SB203580","small molecule","923DEEBC","dissolver","34251416"
"SB220025","small molecule","923DEEBC","dissolver","34251416"
"SB242235","small molecule","923DEEBC","dissolver","34251416"
"Selinexor","small molecule","91857CE7| 1A18FFC4","localizer| dissolver","30205049| 41115290"
"Sennoside A","natural product","38D1B6BE","dissolver","40371698"
"Sennoside B","natural product","38D1B6BE","dissolver","40371698"
"Sevoflurane","small molecule","DEE660B4","inducer","39610020"
"Shikonin","natural product","03D56D03","dissolver","35120943"
"SI-2","small molecule","FA66C19F","dissolver","33589584"
"Silvestrol","natural product","DEE660B4","inducer","29258238"
"SIP-U1-Antp","peptide","DEE660B4","dissolver","38731625"
"SO286","small molecule","6ECDA717","dissolver","41087580"
"Sodium azide","small molecule","550E224B","inducer","35975718"
"Sorafenib","small molecule","DEE660B4","inducer","40064891| 37216166"
"Spautin-1","small molecule","DEE660B4","localizer","36606141"
"Sulforaphane","natural product","38EC0B30","inducer","30338040"
"Suramin","small molecule","03D56D03","inducer","36894559"
"T-2 toxin","small molecule","DEE660B4","dissolver","38105199"
"TAK-243","small molecule","DEE660B4","inducer","33687997"
"Talazoparib","small molecule","A0DCDA94","inducer","36849518| 29992957"
"Tamoxifen","small molecule","38EC0B30","dissolver","32554597"
"Tannic acid","natural product","03D56D03","inducer|dissolver","38960272"
"TAT-SIP-C1","peptide","DEE660B4","dissolver","38731625"
"TAT-SIP-C2","peptide","DEE660B4","dissolver","38731625"
"TC12","small molecule","DEE660B4","inducer","38262290"
"TC39","small molecule","DEE660B4","inducer","38262290"
"TC6","small molecule","DEE660B4","inducer","38262290"
"TD-interfering peptide","peptide","200B29C3","dissolver","40875402"
"Temsirolimus","small molecule","DEE660B4","unknown","35433677"
"Thapsigargin","natural product","DEE660B4","inducer","40064891"
"Thimerosal","small molecule","C4912696","dissolver","41190242"
"Thimesoral","small molecule","940DCD6E","inducer","34251416"
"Titanium dioxide nanoparticles","natural product","DEE660B4","dissolver","39709656"
"Topotecan","small molecule","91857CE7","localizer","11709553"
"Torin 1","small molecule","1A18FFC4","dissolver","36099417"
"Torin-1","small molecule","232F8A39","dissolver","36634147"
"Trabectedin","small molecule","91857CE7","localizer","27697767"
"Trametinib","small molecule","232F8A39","dissolver","37370689"
"Trichostatin A","small molecule","DEE660B4","dissolver","34345843"
"Triptolide","natural product","DEE660B4","dissolver","38366783| 34244458"
"Tryptanthrin","small molecule","03D56D03","dissolver","38352474"
"Tubastatin","small molecule","DEE660B4","dissolver","34345843"
"Tubercidin","small molecule","804901D1","inducer","40121465"
"UNC6934","small molecule","91857CE7","localizer","34782742"
"Veliparib","small molecule","A0DCDA94","inducer","36849518| 29992957"
"VER‐155008","small molecule","DEE660B4","inducer","33738926"
"Verdinexor","small molecule","BEB5E62D","dissolver","37937963"
"Vinblastine","small molecule","DEE660B4","dissolver","31272829"
"Vincristine","small molecule","DEE660B4","inducer","40064891"
"Vitamin C","small molecule","6F24707C","inducer","38583183"
"Vitamin K3","small molecule","6A1B29D1","localizer","37660155"
"VX702","small molecule","923DEEBC","dissolver","34251416"
"Wee1/Chk1 inhibitor","small molecule","DEE660B4","morpher","23415227"
"WIN","small molecule","DEE660B4","dissolver","40306108"
"WIN-62577","small molecule","DEE660B4","localizer","39708056"
"Withaferin A","small molecule","BEB5E62D","dissolver","37937963"
"WNK-643","small molecule","BEB5E62D","inducer","37937963"
"Wortmannin","small molecule","DEE660B4","dissolver","30923191"
"XAV939","small molecule","7FF4107C","inducer","26930278"
"XL-3156","small molecule","1A0B17A6","dissolver|morpher","40461475"
"XL-3158","small molecule","1A0B17A6","dissolver|morpher","40461475"
"XS561","small molecule","927B5294","inducer","38486987"
"Z-leu3-VS","small molecule","940DCD6E","inducer","34251416"
"ZXH-3-26","small molecule","634C353E","dissolver","37156794"
"ZZW-115","small molecule","DEE660B4","dissolver","38360999"
