"uid","name","description","species_taxon_id","species_name","confidence_score","condensate_type","infectious_agent_species_id","infectious_agent_species_name"
"0640DAB7",Dense Fibrillar Component,"The DFC is a subcompartment of the nucleolus, primarily involved in early rRNA processing and ribonucleoprotein assembly. It is enriched with fibrillarin (FBL).",10090,Mus musculus,4,biomolecular,,
E1879998,Synthetic Condensate 000375,"Morphology: In Vivo Droplet Formation,In Vivo Frap; Main protein: P11940; Partner Proteins: Q13283, Q13148, P31483, Q01085, Q04637, P55884, Q99700, Q53GS7, P35637; In cells expressing Opto-G3BP1, but not Opto-Control, all stress granule components that we examined, including PABP, TDP-43, TIA1, TIAR, eIF4G, eIF3η, ataxin 2, GLE1, and FUS, were recruited to optically induced granules",9606,Homo sapiens,1,synthetic,,
"04340D3C",Synthetic Condensate 000348,"Morphology: In Vitro Droplet Formation,In Vitro Frap,In Vivo Droplet Formation,In Vivo Frap; Main protein: Q03513; Partner Proteins: Q31NB3, Q31NB2; The SSUL modules do not replace RbcS, but bind close to the equatorial region of Rubisco between RbcL dimers, linking Rubisco molecules and inducing phase separation into a liquid-like matrix.",1140,Synechococcus elongatus (strain PCC 7942 / FACHB-805),1,synthetic,,
"8F289D40",ELVA,"EndoLysosomal Cesicular Assemblies (ELVAs) are large, protein-rich compartments found in mouse oocytes. They sequester aggregated proteins and are characterized by the presence of lysosomal and autophagic markers. ELVAs are driven by the protein RUFY1, which forms a structural matrix within these assemblies.",10090,Mus musculus,2,biomolecular,,
"5E22074F",Stress Granule,"Stress granules (SGs) in Toxoplasma gondii are dynamic, membrane-less organelles formed during the parasite's stress response.",5811,Toxoplasma gondii,2,biomolecular,,
AA62C26E,ORC1 bodies,The ORC1 condensate is formed by the host protein ORC1 as a regulatory hub contributing to HIV-1 latency by recruiting repressive epigenetic modifier.,9606,Homo sapiens,1,infectious,151458,HIV-1 vector pNL4-3
B30D3E4B,Synthetic Condensate 000234,,6239,Caenorhabditis elegans,3,synthetic,,
"0DCC03B3",Synthetic Condensate 000178,,9606,Homo sapiens,3,synthetic,,
"294DEF4F",Synthetic Condensate 000159,,0,Chimeras,3,synthetic,,
"98C8800A",Synthetic Condensate 000338,"Morphology: In Vivo Droplet Formation,In Vivo Frap; Main protein: Q14596; Partner Proteins: Q13501; NBR1‐GFP completely co‐localized with p62‐positive structures;  our data show that NBR1 induces phase separation of p62, promoting the formation of p62 bodies.",9606,Homo sapiens,1,synthetic,,
