unified_mlo,name_a,name_b,n_a,n_b,shared,overlap_coef,same_resource,shared_organism,res_a,res_b
nuclear_body,Leucocyte nuclear body,nuclear body,21,16,9,0.562,False,True,CDCODE,PhasePro
nuclear_body,NAB3 nuclear body,Nuclear body,1,221,0,0.0,True,False,CDCODE,"CDCODE,PhaSepDB"
nuclear_body,NAB3 nuclear body,RBM15 condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,NAB3 nuclear body,SPRI2 Nuclear Condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,NAB3 nuclear body,VRN1 nuclear body,1,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,NAB3 nuclear body,nuclear body,1,16,1,1.0,False,True,CDCODE,PhasePro
nuclear_body,Nuclear body,RBM15 condensate,221,2,1,0.5,True,True,"CDCODE,PhaSepDB",CDCODE
nuclear_body,Nuclear body,SPRI2 Nuclear Condensate,221,2,0,0.0,True,True,"CDCODE,PhaSepDB",CDCODE
nuclear_body,Nuclear body,VRN1 nuclear body,221,1,0,0.0,True,True,"CDCODE,PhaSepDB",CDCODE
nuclear_body,Nuclear body,nuclear body,221,16,3,0.188,False,True,"CDCODE,PhaSepDB",PhasePro
nuclear_body,RBM15 condensate,SPRI2 Nuclear Condensate,2,2,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,RBM15 condensate,VRN1 nuclear body,2,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_body,RBM15 condensate,nuclear body,2,16,0,0.0,False,True,CDCODE,PhasePro
nuclear_body,SPRI2 Nuclear Condensate,VRN1 nuclear body,2,1,0,0.0,True,True,CDCODE,CDCODE
nuclear_body,SPRI2 Nuclear Condensate,nuclear body,2,16,0,0.0,False,True,CDCODE,PhasePro
nuclear_body,VRN1 nuclear body,nuclear body,1,16,1,1.0,False,True,CDCODE,PhasePro
nuclear_pore_complex,Nuclear pore complex,nuclear pore central transport channel,63,3,3,1.0,False,True,"CDCODE,DrLLPS,PhaSepDB",PhasePro
nuclear_pore_complex,Nuclear pore complex,selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel,63,3,3,1.0,False,True,"CDCODE,DrLLPS,PhaSepDB",PhasePro
nuclear_pore_complex,nuclear pore central transport channel,selective hydrogel-like meshwork formed by FG-nucleoporins in nuclear pore central channel,3,3,3,1.0,True,True,PhasePro,PhasePro
nuclear_speckle,AFAP1-AS1 condensates,ALYREF condensates,2,1,0,0.0,True,True,CDCODE,CDCODE
nuclear_speckle,AFAP1-AS1 condensates,METTL14 condensate,2,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_speckle,AFAP1-AS1 condensates,Nuclear speckle,2,699,2,1.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
nuclear_speckle,AFAP1-AS1 condensates,Omega speckle,2,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_speckle,AFAP1-AS1 condensates,nuclear speckle,2,3,0,0.0,False,True,CDCODE,PhasePro
nuclear_speckle,ALYREF condensates,METTL14 condensate,1,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_speckle,ALYREF condensates,Nuclear speckle,1,699,1,1.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
nuclear_speckle,ALYREF condensates,Omega speckle,1,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_speckle,ALYREF condensates,nuclear speckle,1,3,0,0.0,False,True,CDCODE,PhasePro
nuclear_speckle,METTL14 condensate,Nuclear speckle,1,699,0,0.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
nuclear_speckle,METTL14 condensate,Omega speckle,1,1,0,0.0,True,False,CDCODE,CDCODE
nuclear_speckle,METTL14 condensate,nuclear speckle,1,3,0,0.0,False,False,CDCODE,PhasePro
nuclear_speckle,Nuclear speckle,Omega speckle,699,1,0,0.0,True,False,"CDCODE,DrLLPS,PhaSepDB",CDCODE
nuclear_speckle,Nuclear speckle,nuclear speckle,699,3,3,1.0,False,True,"CDCODE,DrLLPS,PhaSepDB",PhasePro
nuclear_speckle,Omega speckle,nuclear speckle,1,3,0,0.0,False,False,CDCODE,PhasePro
nuclear_stress_body,A-bodies,Nuclear stress body,2,584,1,0.5,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
nucleolus,Dense Fibrillar Component,Dense fibrillar component,9,2,0,0.0,True,False,CDCODE,CDCODE
nucleolus,Dense Fibrillar Component,Granular component,9,2,0,0.0,True,True,CDCODE,CDCODE
nucleolus,Dense Fibrillar Component,Nucleolus,9,5002,9,1.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
nucleolus,Dense Fibrillar Component,dense fibrillar component,9,2,0,0.0,False,False,CDCODE,PhasePro
nucleolus,Dense Fibrillar Component,granular component,9,1,0,0.0,False,True,CDCODE,PhasePro
nucleolus,Dense Fibrillar Component,nucleolus,9,5,0,0.0,False,True,CDCODE,PhasePro
nucleolus,Dense Fibrillar Component,rDNA locus,9,2,0,0.0,True,False,CDCODE,CDCODE
nucleolus,Dense fibrillar component,Granular component,2,2,0,0.0,True,False,CDCODE,CDCODE
nucleolus,Dense fibrillar component,Nucleolus,2,5002,2,1.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
nucleolus,Dense fibrillar component,dense fibrillar component,2,2,2,1.0,False,True,CDCODE,PhasePro
nucleolus,Dense fibrillar component,granular component,2,1,0,0.0,False,False,CDCODE,PhasePro
nucleolus,Dense fibrillar component,nucleolus,2,5,2,1.0,False,True,CDCODE,PhasePro
nucleolus,Dense fibrillar component,rDNA locus,2,2,0,0.0,True,False,CDCODE,CDCODE
nucleolus,Granular component,Nucleolus,2,5002,2,1.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
nucleolus,Granular component,dense fibrillar component,2,2,0,0.0,False,False,CDCODE,PhasePro
nucleolus,Granular component,granular component,2,1,1,1.0,False,True,CDCODE,PhasePro
nucleolus,Granular component,nucleolus,2,5,1,0.5,False,True,CDCODE,PhasePro
nucleolus,Granular component,rDNA locus,2,2,0,0.0,True,False,CDCODE,CDCODE
nucleolus,Nucleolus,dense fibrillar component,5002,2,2,1.0,False,True,"CDCODE,DrLLPS,PhaSepDB",PhasePro
nucleolus,Nucleolus,granular component,5002,1,1,1.0,False,True,"CDCODE,DrLLPS,PhaSepDB",PhasePro
nucleolus,Nucleolus,nucleolus,5002,5,5,1.0,False,True,"CDCODE,DrLLPS,PhaSepDB",PhasePro
nucleolus,Nucleolus,rDNA locus,5002,2,2,1.0,True,True,"CDCODE,DrLLPS,PhaSepDB",CDCODE
nucleolus,dense fibrillar component,granular component,2,1,0,0.0,True,False,PhasePro,PhasePro
nucleolus,dense fibrillar component,nucleolus,2,5,2,1.0,True,True,PhasePro,PhasePro
nucleolus,dense fibrillar component,rDNA locus,2,2,0,0.0,False,False,PhasePro,CDCODE
nucleolus,granular component,nucleolus,1,5,1,1.0,True,True,PhasePro,PhasePro
nucleolus,granular component,rDNA locus,1,2,0,0.0,False,False,PhasePro,CDCODE
nucleolus,nucleolus,rDNA locus,5,2,0,0.0,False,False,PhasePro,CDCODE
p62_body,ORF8/p62 condensate,P62 body,4,3,1,0.333,True,True,CDCODE,CDCODE
p62_body,ORF8/p62 condensate,P62 cluster,4,4,0,0.0,True,True,CDCODE,CDCODE
p62_body,ORF8/p62 condensate,p62 body,4,1,1,1.0,False,True,CDCODE,PhasePro
p62_body,ORF8/p62 condensate,p62 cluster,4,780,1,0.25,False,True,CDCODE,PhaSepDB
p62_body,P62 body,P62 cluster,3,4,1,0.333,True,True,CDCODE,CDCODE
p62_body,P62 body,p62 body,3,1,1,1.0,False,True,CDCODE,PhasePro
p62_body,P62 body,p62 cluster,3,780,3,1.0,False,True,CDCODE,PhaSepDB
p62_body,P62 cluster,p62 body,4,1,0,0.0,False,True,CDCODE,PhasePro
p62_body,P62 cluster,p62 cluster,4,780,2,0.5,False,True,CDCODE,PhaSepDB
p62_body,p62 body,p62 cluster,1,780,1,1.0,False,True,PhasePro,PhaSepDB
p_body,CCR4-NOT1 complex,GW-body,1,3,0,0.0,True,False,CDCODE,"CDCODE,PhasePro"
p_body,CCR4-NOT1 complex,P-body,1,1193,1,1.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB,PhasePro"
p_body,CCR4-NOT1 complex,PB-like Assembly,1,3,0,0.0,True,False,CDCODE,CDCODE
p_body,CCR4-NOT1 complex,p62-dependent P-bodies (pd-PBs),1,11,0,0.0,True,False,CDCODE,CDCODE
p_body,GW-body,P-body,3,1193,3,1.0,True,True,"CDCODE,PhasePro","CDCODE,DrLLPS,PhaSepDB,PhasePro"
p_body,GW-body,PB-like Assembly,3,3,0,0.0,True,True,"CDCODE,PhasePro",CDCODE
p_body,GW-body,p62-dependent P-bodies (pd-PBs),3,11,0,0.0,True,True,"CDCODE,PhasePro",CDCODE
p_body,P-body,PB-like Assembly,1193,3,3,1.0,True,True,"CDCODE,DrLLPS,PhaSepDB,PhasePro",CDCODE
p_body,P-body,p62-dependent P-bodies (pd-PBs),1193,11,6,0.545,True,True,"CDCODE,DrLLPS,PhaSepDB,PhasePro",CDCODE
p_body,PB-like Assembly,p62-dependent P-bodies (pd-PBs),3,11,1,0.333,True,True,CDCODE,CDCODE
p_granule,Germ granule,P granule,14,576,2,0.143,False,True,CDCODE,"DrLLPS,PhaSepDB,PhasePro"
p_granule,Germ granule,P-granule,14,49,0,0.0,True,False,CDCODE,CDCODE
p_granule,Germ granule,PGL granules,14,5,0,0.0,True,False,CDCODE,CDCODE
p_granule,Germ granule,Trbd,14,1,0,0.0,True,True,CDCODE,CDCODE
p_granule,P granule,P-granule,576,49,44,0.898,False,True,"DrLLPS,PhaSepDB,PhasePro",CDCODE
p_granule,P granule,PGL granules,576,5,5,1.0,False,True,"DrLLPS,PhaSepDB,PhasePro",CDCODE
p_granule,P granule,Trbd,576,1,0,0.0,False,True,"DrLLPS,PhaSepDB,PhasePro",CDCODE
p_granule,P-granule,PGL granules,49,5,5,1.0,True,True,CDCODE,CDCODE
p_granule,P-granule,Trbd,49,1,0,0.0,True,False,CDCODE,CDCODE
p_granule,PGL granules,Trbd,5,1,0,0.0,True,False,CDCODE,CDCODE
paraspeckle,NONO,Paraspeckle,3,270,1,0.333,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
paraspeckle,NONO,paraspeckle,3,3,0,0.0,False,False,CDCODE,PhasePro
paraspeckle,Paraspeckle,paraspeckle,270,3,3,1.0,False,True,"CDCODE,DrLLPS,PhaSepDB",PhasePro
perinucleolar_compartment,Peri-nucleolar condensate,Perinucleolar compartment,6,1,0,0.0,False,False,CDCODE,DrLLPS
plant_photobody,CRY2/SPA1/FIO1 condensate,Photobody,3,7,3,1.0,False,True,CDCODE,PhaSepDB
plant_photobody,CRY2/SPA1/FIO1 condensate,Plant Photobody,3,5,1,0.333,True,True,CDCODE,CDCODE
plant_photobody,Photobody,Plant Photobody,7,5,2,0.4,False,True,PhaSepDB,CDCODE
plant_signaling_condensate,OsJAZ2 condensate,OsSRO1c-OsDREB2B condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
plant_signaling_condensate,OsJAZ2 condensate,PARCL condensate,1,1,0,0.0,True,False,CDCODE,CDCODE
plant_signaling_condensate,OsJAZ2 condensate,Plant growth regulator,1,1,0,0.0,True,False,CDCODE,CDCODE
plant_signaling_condensate,OsJAZ2 condensate,RH20 condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
plant_signaling_condensate,OsSRO1c-OsDREB2B condensate,PARCL condensate,2,1,0,0.0,True,False,CDCODE,CDCODE
plant_signaling_condensate,OsSRO1c-OsDREB2B condensate,Plant growth regulator,2,1,0,0.0,True,False,CDCODE,CDCODE
plant_signaling_condensate,OsSRO1c-OsDREB2B condensate,RH20 condensate,2,2,0,0.0,True,False,CDCODE,CDCODE
plant_signaling_condensate,PARCL condensate,Plant growth regulator,1,1,0,0.0,True,True,CDCODE,CDCODE
plant_signaling_condensate,PARCL condensate,RH20 condensate,1,2,0,0.0,True,True,CDCODE,CDCODE
plant_signaling_condensate,Plant growth regulator,RH20 condensate,1,2,0,0.0,True,True,CDCODE,CDCODE
pml_nuclear_body,PML body,PML nuclear body,561,357,144,0.403,False,True,"CDCODE,PhasePro","DrLLPS,PhaSepDB"
pml_nuclear_body,PML body,PML/RARα microspeckle,561,1,1,1.0,False,True,"CDCODE,PhasePro",PhaSepDB
pml_nuclear_body,PML nuclear body,PML/RARα microspeckle,357,1,1,1.0,True,True,"DrLLPS,PhaSepDB",PhaSepDB
polarity_condensate,Fus1 condensate,Numb/Pon condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
polarity_condensate,Fus1 condensate,Par complex,1,5,0,0.0,True,False,CDCODE,"CDCODE,PhaSepDB"
polarity_condensate,Fus1 condensate,PodJ condensates,1,3,0,0.0,True,False,CDCODE,CDCODE
polarity_condensate,Fus1 condensate,PopZ condensate,1,6,0,0.0,True,False,CDCODE,CDCODE
polarity_condensate,Fus1 condensate,basal Numb-Pon crescent in dividing neuroblasts,1,2,0,0.0,False,False,CDCODE,PhasePro
polarity_condensate,Numb/Pon condensate,Par complex,2,5,0,0.0,True,True,CDCODE,"CDCODE,PhaSepDB"
polarity_condensate,Numb/Pon condensate,PodJ condensates,2,3,0,0.0,True,False,CDCODE,CDCODE
polarity_condensate,Numb/Pon condensate,PopZ condensate,2,6,0,0.0,True,False,CDCODE,CDCODE
polarity_condensate,Numb/Pon condensate,basal Numb-Pon crescent in dividing neuroblasts,2,2,2,1.0,False,True,CDCODE,PhasePro
polarity_condensate,Par complex,PodJ condensates,5,3,0,0.0,True,False,"CDCODE,PhaSepDB",CDCODE
polarity_condensate,Par complex,PopZ condensate,5,6,0,0.0,True,False,"CDCODE,PhaSepDB",CDCODE
polarity_condensate,Par complex,basal Numb-Pon crescent in dividing neuroblasts,5,2,0,0.0,False,True,"CDCODE,PhaSepDB",PhasePro
polarity_condensate,PodJ condensates,PopZ condensate,3,6,0,0.0,True,True,CDCODE,CDCODE
polarity_condensate,PodJ condensates,basal Numb-Pon crescent in dividing neuroblasts,3,2,0,0.0,False,False,CDCODE,PhasePro
polarity_condensate,PopZ condensate,basal Numb-Pon crescent in dividing neuroblasts,6,2,0,0.0,False,False,CDCODE,PhasePro
polycomb_body,PcG body,PcG chromatin condensates,35,1,1,1.0,False,True,"CDCODE,DrLLPS",PhasePro
polycomb_body,PcG body,Polycomb body,35,10,5,0.5,False,True,"CDCODE,DrLLPS",PhaSepDB
polycomb_body,PcG chromatin condensates,Polycomb body,1,10,1,1.0,False,True,PhasePro,PhaSepDB
postsynaptic_density,ArgBP2 dendritic spine condensate,FATZ-1 condensate,1,1,0,0.0,True,True,CDCODE,CDCODE
postsynaptic_density,ArgBP2 dendritic spine condensate,Postsynaptic density,1,2884,1,1.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
postsynaptic_density,ArgBP2 dendritic spine condensate,Rapsn condensate,1,7,0,0.0,True,True,CDCODE,CDCODE
postsynaptic_density,ArgBP2 dendritic spine condensate,postsynaptic density,1,2,0,0.0,False,True,CDCODE,PhasePro
postsynaptic_density,FATZ-1 condensate,Postsynaptic density,1,2884,0,0.0,True,True,CDCODE,"CDCODE,DrLLPS,PhaSepDB"
postsynaptic_density,FATZ-1 condensate,Rapsn condensate,1,7,0,0.0,True,True,CDCODE,CDCODE
postsynaptic_density,FATZ-1 condensate,postsynaptic density,1,2,0,0.0,False,True,CDCODE,PhasePro
postsynaptic_density,Postsynaptic density,Rapsn condensate,2884,7,2,0.286,True,True,"CDCODE,DrLLPS,PhaSepDB",CDCODE
postsynaptic_density,Postsynaptic density,postsynaptic density,2884,2,1,0.5,False,True,"CDCODE,DrLLPS,PhaSepDB",PhasePro
postsynaptic_density,Rapsn condensate,postsynaptic density,7,2,0,0.0,False,True,CDCODE,PhasePro
pre_autophagosomal_structure,ATG condensate,ATG4B condensate,5,1,0,0.0,True,False,CDCODE,CDCODE
pre_autophagosomal_structure,ATG condensate,Pre-autophagosomal structure,5,5,4,0.8,False,True,CDCODE,PhaSepDB
pre_autophagosomal_structure,ATG4B condensate,Pre-autophagosomal structure,1,5,0,0.0,False,False,CDCODE,PhaSepDB
presynaptic_active_zone,Presynaptic active zone condensate,Presynaptic clusters,11,15,8,0.727,False,True,PhaSepDB,CDCODE
presynaptic_active_zone,Presynaptic active zone condensate,Presynaptic clusters and postsynaptic densities,11,1366,1,0.091,False,True,PhaSepDB,CDCODE
presynaptic_active_zone,Presynaptic active zone condensate,presynaptic cytosol,11,2,0,0.0,False,True,PhaSepDB,PhasePro
presynaptic_active_zone,Presynaptic clusters,Presynaptic clusters and postsynaptic densities,15,1366,0,0.0,True,False,CDCODE,CDCODE
presynaptic_active_zone,Presynaptic clusters,presynaptic cytosol,15,2,0,0.0,False,False,CDCODE,PhasePro
presynaptic_active_zone,Presynaptic clusters and postsynaptic densities,presynaptic cytosol,1366,2,2,1.0,False,True,CDCODE,PhasePro
proteasome_foci,BAG2,Proteasome Storage Granule,1,5,0,0.0,False,False,CDCODE,PhaSepDB
proteasome_foci,BAG2,Proteasome condensate,1,8,0,0.0,True,True,CDCODE,CDCODE
proteasome_foci,BAG2,Proteasome containing foci,1,7,0,0.0,False,True,CDCODE,PhaSepDB
proteasome_foci,BAG2,senescence-associated nuclear proteasome foci,1,5,0,0.0,True,True,CDCODE,CDCODE
proteasome_foci,Proteasome Storage Granule,Proteasome condensate,5,8,3,0.6,False,True,PhaSepDB,CDCODE
proteasome_foci,Proteasome Storage Granule,Proteasome containing foci,5,7,0,0.0,True,False,PhaSepDB,PhaSepDB
proteasome_foci,Proteasome Storage Granule,senescence-associated nuclear proteasome foci,5,5,0,0.0,False,False,PhaSepDB,CDCODE
proteasome_foci,Proteasome condensate,Proteasome containing foci,8,7,4,0.571,False,True,CDCODE,PhaSepDB
proteasome_foci,Proteasome condensate,senescence-associated nuclear proteasome foci,8,5,1,0.2,True,True,CDCODE,CDCODE
proteasome_foci,Proteasome containing foci,senescence-associated nuclear proteasome foci,7,5,1,0.2,False,True,PhaSepDB,CDCODE
pyrenoid,Pyrenoid,Pyrenoid matrix,84,181,83,0.988,False,True,CDCODE,DrLLPS
pyrenoid,Pyrenoid,pyrenoid,84,2,2,1.0,False,True,CDCODE,PhasePro
pyrenoid,Pyrenoid matrix,pyrenoid,181,2,1,0.5,False,True,DrLLPS,PhasePro
replication_compartment,ORC1 bodies,Pre-replication compartment (PRC),5,3,0,0.0,True,False,CDCODE,CDCODE
replication_compartment,ORC1 bodies,Replication compartment,5,5,0,0.0,False,False,CDCODE,PhaSepDB
replication_compartment,ORC1 bodies,VRO-associated condensate,5,1,0,0.0,False,False,CDCODE,PhaSepDB
replication_compartment,ORC1 bodies,Virus-induced replication (VIR) condensate,5,1,0,0.0,True,False,CDCODE,CDCODE
replication_compartment,ORC1 bodies,viral replication compartment (VRC),5,8,0,0.0,True,False,CDCODE,CDCODE
replication_compartment,Pre-replication compartment (PRC),Replication compartment,3,5,1,0.333,False,True,CDCODE,PhaSepDB
replication_compartment,Pre-replication compartment (PRC),VRO-associated condensate,3,1,0,0.0,False,False,CDCODE,PhaSepDB
replication_compartment,Pre-replication compartment (PRC),Virus-induced replication (VIR) condensate,3,1,0,0.0,True,False,CDCODE,CDCODE
replication_compartment,Pre-replication compartment (PRC),viral replication compartment (VRC),3,8,0,0.0,True,False,CDCODE,CDCODE
replication_compartment,Replication compartment,VRO-associated condensate,5,1,0,0.0,True,False,PhaSepDB,PhaSepDB
replication_compartment,Replication compartment,Virus-induced replication (VIR) condensate,5,1,0,0.0,False,False,PhaSepDB,CDCODE
replication_compartment,Replication compartment,viral replication compartment (VRC),5,8,1,0.2,False,True,PhaSepDB,CDCODE
replication_compartment,VRO-associated condensate,Virus-induced replication (VIR) condensate,1,1,0,0.0,False,False,PhaSepDB,CDCODE
replication_compartment,VRO-associated condensate,viral replication compartment (VRC),1,8,0,0.0,False,False,PhaSepDB,CDCODE
replication_compartment,Virus-induced replication (VIR) condensate,viral replication compartment (VRC),1,8,0,0.0,True,False,CDCODE,CDCODE
sam68_nuclear_body,Sam68 nuclear bodies (SNBs),Sam68 nuclear body,2,16,2,1.0,False,True,PhasePro,"CDCODE,DrLLPS,PhaSepDB"
sars_cov2_n_condensate,FXR-driven SARS-CoV-2 condensate,SARS-CoV-2 N condensate,5,4,0,0.0,False,True,CDCODE,PhaSepDB
sars_cov2_n_condensate,FXR-driven SARS-CoV-2 condensate,SARS-CoV-2 condensate,5,4,1,0.25,True,True,CDCODE,CDCODE
sars_cov2_n_condensate,SARS-CoV-2 N condensate,SARS-CoV-2 condensate,4,4,2,0.5,False,True,PhaSepDB,CDCODE
sec_body,Sec body,Sec-body,9,8,6,0.75,False,True,"PhaSepDB,PhasePro",CDCODE
signaling_cluster,Receptor cluster,Signaling cluster,16,25,11,0.688,False,True,"DrLLPS,PhaSepDB",CDCODE
signaling_cluster,Receptor cluster,membrane cluster,16,3,3,1.0,False,True,"DrLLPS,PhaSepDB",PhasePro
signaling_cluster,Signaling cluster,membrane cluster,25,3,3,1.0,False,True,CDCODE,PhasePro
signaling_condensate,BMP2K condensate,EML4-ALK condensates,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,HSP condensate,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,Insulin/IGF-1 signalosomes,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,Nur77 condensate,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,PARP5A–RNF146 condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,PCBP2 condensates,1,5,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,PGAM5-MAVS Condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,Plectin condensates,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,SSB condensate,1,3,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,Signalosome,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,BMP2K condensate,TBC1D2B condensate,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,HSP condensate,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,Insulin/IGF-1 signalosomes,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,Nur77 condensate,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,PARP5A–RNF146 condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,PCBP2 condensates,1,5,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,PGAM5-MAVS Condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,Plectin condensates,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,SSB condensate,1,3,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,Signalosome,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,EML4-ALK condensates,TBC1D2B condensate,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,HSP condensate,Insulin/IGF-1 signalosomes,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,HSP condensate,Nur77 condensate,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,HSP condensate,PARP5A–RNF146 condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,HSP condensate,PCBP2 condensates,1,5,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,HSP condensate,PGAM5-MAVS Condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,HSP condensate,Plectin condensates,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,HSP condensate,SSB condensate,1,3,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,HSP condensate,Signalosome,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,HSP condensate,TBC1D2B condensate,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,Insulin/IGF-1 signalosomes,Nur77 condensate,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,Insulin/IGF-1 signalosomes,PARP5A–RNF146 condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,Insulin/IGF-1 signalosomes,PCBP2 condensates,1,5,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,Insulin/IGF-1 signalosomes,PGAM5-MAVS Condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,Insulin/IGF-1 signalosomes,Plectin condensates,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,Insulin/IGF-1 signalosomes,SSB condensate,1,3,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,Insulin/IGF-1 signalosomes,Signalosome,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,Insulin/IGF-1 signalosomes,TBC1D2B condensate,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,Nur77 condensate,PARP5A–RNF146 condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,Nur77 condensate,PCBP2 condensates,1,5,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,Nur77 condensate,PGAM5-MAVS Condensate,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,Nur77 condensate,Plectin condensates,1,2,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,Nur77 condensate,SSB condensate,1,3,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,Nur77 condensate,Signalosome,1,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,Nur77 condensate,TBC1D2B condensate,1,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,PARP5A–RNF146 condensate,PCBP2 condensates,2,5,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,PARP5A–RNF146 condensate,PGAM5-MAVS Condensate,2,2,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,PARP5A–RNF146 condensate,Plectin condensates,2,2,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,PARP5A–RNF146 condensate,SSB condensate,2,3,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,PARP5A–RNF146 condensate,Signalosome,2,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,PARP5A–RNF146 condensate,TBC1D2B condensate,2,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,PCBP2 condensates,PGAM5-MAVS Condensate,5,2,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,PCBP2 condensates,Plectin condensates,5,2,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,PCBP2 condensates,SSB condensate,5,3,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,PCBP2 condensates,Signalosome,5,1,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,PCBP2 condensates,TBC1D2B condensate,5,1,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,PGAM5-MAVS Condensate,Plectin condensates,2,2,0,0.0,True,True,CDCODE,CDCODE
signaling_condensate,PGAM5-MAVS Condensate,SSB condensate,2,3,0,0.0,True,False,CDCODE,CDCODE
signaling_condensate,PGAM5-MAVS Condensate,Signalosome,2,1,0,0.0,True,False,CDCODE,CDCODE
