unified_mlo,name_a,name_b,n_a,n_b,shared,overlap_coef,same_resource,shared_organism,res_a,res_b
cytoplasmic_rnp_granule,Cpeb1b-Pabpc1b-shh Condensate,RNP granules,3,43,0,0.0,False,False,CDCODE,PhaSepDB
cytoplasmic_rnp_granule,Cpeb1b-Pabpc1b-shh Condensate,Translational Condensate,3,4,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Cpeb1b-Pabpc1b-shh Condensate,WHI3 cluster,3,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Cpeb1b-Pabpc1b-shh Condensate,cytoplasmic ribonucleoprotein granule,3,7,0,0.0,False,False,CDCODE,PhasePro
cytoplasmic_rnp_granule,Cytoplasmic protein granule,Ddx3xb condensates,5,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Cytoplasmic protein granule,FXR1 condensates,5,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Cytoplasmic protein granule,FXR1 network,5,1,0,0.0,False,False,CDCODE,PhaSepDB
cytoplasmic_rnp_granule,Cytoplasmic protein granule,MEX3B granule,5,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Cytoplasmic protein granule,RNP granule,5,3,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Cytoplasmic protein granule,RNP granules,5,43,0,0.0,False,False,CDCODE,PhaSepDB
cytoplasmic_rnp_granule,Cytoplasmic protein granule,Translational Condensate,5,4,0,0.0,True,True,CDCODE,CDCODE
cytoplasmic_rnp_granule,Cytoplasmic protein granule,WHI3 cluster,5,1,0,0.0,True,True,CDCODE,CDCODE
cytoplasmic_rnp_granule,Cytoplasmic protein granule,cytoplasmic ribonucleoprotein granule,5,7,0,0.0,False,True,CDCODE,PhasePro
cytoplasmic_rnp_granule,Ddx3xb condensates,FXR1 condensates,1,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Ddx3xb condensates,FXR1 network,1,1,0,0.0,False,False,CDCODE,PhaSepDB
cytoplasmic_rnp_granule,Ddx3xb condensates,MEX3B granule,1,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Ddx3xb condensates,RNP granule,1,3,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Ddx3xb condensates,RNP granules,1,43,0,0.0,False,False,CDCODE,PhaSepDB
cytoplasmic_rnp_granule,Ddx3xb condensates,Translational Condensate,1,4,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Ddx3xb condensates,WHI3 cluster,1,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,Ddx3xb condensates,cytoplasmic ribonucleoprotein granule,1,7,0,0.0,False,False,CDCODE,PhasePro
cytoplasmic_rnp_granule,FXR1 condensates,FXR1 network,1,1,0,0.0,False,False,CDCODE,PhaSepDB
cytoplasmic_rnp_granule,FXR1 condensates,MEX3B granule,1,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,FXR1 condensates,RNP granule,1,3,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,FXR1 condensates,RNP granules,1,43,1,1.0,False,True,CDCODE,PhaSepDB
cytoplasmic_rnp_granule,FXR1 condensates,Translational Condensate,1,4,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,FXR1 condensates,WHI3 cluster,1,1,0,0.0,True,False,CDCODE,CDCODE
cytoplasmic_rnp_granule,FXR1 condensates,cytoplasmic ribonucleoprotein granule,1,7,0,0.0,False,False,CDCODE,PhasePro
cytoplasmic_rnp_granule,FXR1 network,MEX3B granule,1,1,0,0.0,False,True,PhaSepDB,CDCODE
cytoplasmic_rnp_granule,FXR1 network,RNP granule,1,3,0,0.0,False,False,PhaSepDB,CDCODE
cytoplasmic_rnp_granule,FXR1 network,RNP granules,1,43,0,0.0,True,True,PhaSepDB,PhaSepDB
cytoplasmic_rnp_granule,FXR1 network,Translational Condensate,1,4,0,0.0,False,False,PhaSepDB,CDCODE
cytoplasmic_rnp_granule,FXR1 network,WHI3 cluster,1,1,0,0.0,False,False,PhaSepDB,CDCODE
cytoplasmic_rnp_granule,FXR1 network,cytoplasmic ribonucleoprotein granule,1,7,0,0.0,False,True,PhaSepDB,PhasePro
cytoplasmic_rnp_granule,MEX3B granule,RNP granule,1,3,0,0.0,True,False,CDCODE,CDCODE
