unified_mlo,source_mlo,resource,source_db_tags,term_status,in_served_data,category,verdict,proteins,assertions,organisms,top_organism,distinct_pmids,roles
carboxysome,Carboxysome,PhaSepDB,PhaseDB|PhasePDB,served,yes,Procariota,correct,2,2,2,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),4,driver
carboxysome,Enzyme_shell proteins condensates,CDCODE,CDCODE,served,yes,Procariota,review,2,2,1,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),0,
carboxysome,Carboxysome,CDCODE,CDCODE,served,yes,Procariota,correct,1,1,1,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805),0,
centrosome,Centrosome,CDCODE,CDCODE,served,yes,Citoesqueleto,trivial_variant,965,965,9,Homo sapiens,0,
centrosome,Centrosome,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoesqueleto,trivial_variant,22,22,2,Homo sapiens,35,client|driver
centrosome,Pericentriolar matrix,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoesqueleto,not_reviewed,10,10,3,Caenorhabditis elegans,6,driver
centrosome,Pericentriolar matrix,CDCODE,CDCODE,served,yes,Citoesqueleto,not_reviewed,8,8,2,Caenorhabditis elegans,0,
centrosome,Pericentriolar material,CDCODE,CDCODE,served,yes,Citoesqueleto,not_reviewed,3,3,1,Drosophila melanogaster,0,
centrosome,Pericentriolar compartment,CDCODE,CDCODE,served,yes,Citoesqueleto,correct,2,2,2,Homo sapiens,0,
centrosome,Pericentriolar matrix,DrLLPS,DrLLPS,served,yes,Citoesqueleto,not_reviewed,1,1,1,Caenorhabditis elegans,1,driver
centrosome,pericentriolar material,PhasePro,PhasePro,served,yes,Citoesqueleto,correct,1,1,1,Caenorhabditis elegans,1,driver
centrosome,Centrosome/,,,served,no,Citoesqueleto,trivial_variant,0,0,0,,0,
cgas_dna_complex,cGAS foci,CDCODE,CDCODE,served,yes,Citoplasmático,correct,4,4,2,Homo sapiens,0,
cgas_dna_complex,cGAS-DNA complex,PhaSepDB,PhaseDB|PhasePDB,served,yes,Citoplasmático,trivial_variant,3,3,2,Homo sapiens,8,driver
cgas_dna_complex,cGAS foci,PhasePro,PhasePro,served,yes,Citoplasmático,correct,1,1,1,Homo sapiens,1,driver
