uniprot,mlo_db,rol_db,source,db,mlo,rol
Q12796,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12797,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12802,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12802,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12803,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12816,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12824,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12840,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12849,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12851,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q12873,P-body,,phasepdb,phasepdb_ht,p-body,
Q12873,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12873,Cajal body,,phasepdb,phasepdb_ht,cajal body,
Q12873,P-body,,phasepdb,phasepdb_ht,p-body,
Q12873,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12874,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12874,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q12874,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q12887,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12905,P-body,,phasepdb,phasepdb_ht,p-body,
Q12905,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q12905,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q12905,IMP1 ribonucleoprotein granule,,phasepdb,phasepdb_ht,imp1 ribonucleoprotein granule,
Q12906,P-body,,phasepdb,phasepdb_ht,p-body,
Q12906,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12906,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12906,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12906,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12906,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q12906,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12906,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q12906,IMP1 ribonucleoprotein granule,,phasepdb,phasepdb_ht,imp1 ribonucleoprotein granule,
Q12907,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12923,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12926,P-body,,phasepdb,phasepdb_ht,p-body,
Q12926,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12931,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12933,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12951,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q12965,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12972,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12972,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q12972,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q12986,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12986,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q12987,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13011,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13018,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13042,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13045,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13085,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13085,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13106,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13111,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13123,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13123,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13123,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13123,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13126,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13129,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13131,P-body,,phasepdb,phasepdb_ht,p-body,
Q13131,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13131,P-body,,phasepdb,phasepdb_ht,p-body,
Q13136,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13145,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13148,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13148,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13148,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13148,Cajal body,,phasepdb,phasepdb_ht,cajal body,
Q13151,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13151,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13151,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q13151,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q13162,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13162,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13163,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13185,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13185,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
Q13185,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13190,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13200,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13200,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13203,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13206,P-body,,phasepdb,phasepdb_ht,p-body,
Q13206,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13206,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13228,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13232,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13232,Nuclear stress body,,phasepdb,phasepdb_ht,nuclear stress body,
Q13233,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q13233,PML nuclear body,,phasepdb,phasepdb_ht,pml nuclear body,
Q13242,Nuclear body,,phasepdb,phasepdb_ht,nuclear body,
Q13242,P-body,,phasepdb,phasepdb_ht,p-body,
Q13242,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q13242,Cajal body,,phasepdb,phasepdb_ht,cajal body,
Q13242,P-body,,phasepdb,phasepdb_ht,p-body,
Q13242,Stress granule,,phasepdb,phasepdb_ht,stress granule,
