uniprot,mlo_db,rol_db,source,db,mlo,rol
Q14498,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14498,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q14498,Nuclear speckle,,phasepdb,phasepdb_ht,nuclear speckle,
Q14524,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14554,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14558,Stress granule,,phasepdb,phasepdb_ht,stress granule,
Q14562,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14562,Splicesome,,phasepdb,phasepdb_ht,splicesome,
Q14566,Nucleolus,,phasepdb,phasepdb_ht,nucleolus,
Q14566,Paraspeckle,,phasepdb,phasepdb_ht,paraspeckle,
