unified_mlo,filas,prot
p_body,253,253
stress_granule,164,164
p_granule,107,107
pml_nuclear_body,14,14
centrosome,10,9
postsynaptic_density,8,8
histone_locus_body,8,8
nuclear_speckle,7,7
insulator_body,7,7
in_vitro_droplet,7,7
nucleolus,6,6
signaling_cluster,3,3
neuronal_granule,3,3
chromatoid_body,3,3
polycomb_body,2,2
mitochondrial_rna_granule,2,2
spindle_apparatus,1,1
paraspeckle,1,1
germ_plasm,1,1
