uniprot_id,organism_uniprot,estado,remapea_a,reino
C9J7P1,Homo sapiens,Active,,Metazoa
C9JGC4,Homo sapiens,Active,,Metazoa
C9JT33,Homo sapiens,Active,,Metazoa
C9JW41,,DELETED,,
C9JYS3,Homo sapiens,Active,,Metazoa
E1BEW6,,DELETED,,
E1P5S2,,DELETED,,
E7EPK6,Homo sapiens,Active,,Metazoa
E7ET21,,DELETED,,
E7ETD8,Homo sapiens,Active,,Metazoa
E7EVD1,,DELETED,,
E7EVW0,,DELETED,,
E7EZ16,,DELETED,,
E7EZA2,,DELETED,,
E7FAG5,,DELETED,,
E7FH34,,DELETED,,
E9PAS5,Homo sapiens,Active,,Metazoa
E9PDK5,,DELETED,,
E9PFP2,,DELETED,,
E9PFU1,Homo sapiens,Active,,Metazoa
E9PH29,Homo sapiens,Active,,Metazoa
E9QAS7,Mus musculus,Active,,Metazoa
F1LN59,Rattus norvegicus,Active,,Metazoa
F1MBQ8,,DELETED,,
F1MFN1,,DELETED,,
F1MGC9,,DELETED,,
F1N5H8,,DELETED,,
F1Q743,,DELETED,,
F1QDH4,,DELETED,,
F1QFC0,,DELETED,,
F1QHI2,,DELETED,,
F1QQ28,,DELETED,,
F1QQW9,,DELETED,,
F1R6L3,,DELETED,,
F1R810,,DELETED,,
F1RA35,,DELETED,,
F2Z4J7,,DELETED,,
F5GWZ7,,DELETED,,
F5GY65,Homo sapiens,Active,,Metazoa
F5GYZ3,Homo sapiens,Active,,Metazoa
F5H041,Homo sapiens,Active,,Metazoa
F5H1S2,Homo sapiens,Active,,Metazoa
F5H5W3,Homo sapiens,Active,,Metazoa
F6Q5P0,Sus scrofa,Active,,Metazoa
F8VTJ5,Homo sapiens,Active,,Metazoa
F8W720,Homo sapiens,Active,,Metazoa
F8W7P3,Homo sapiens,Active,,Metazoa
F8W8G1,Homo sapiens,Active,,Metazoa
G3N361,,DELETED,,
G3V1C3,Homo sapiens,Active,,Metazoa
G3V1R4,Homo sapiens,Active,,Metazoa
G3V1S1,,DELETED,,
G5EEF8,Caenorhabditis elegans,Active,,Metazoa
G5EGE0,Caenorhabditis elegans,Active,,Metazoa
G8JLD5,Homo sapiens,Active,,Metazoa
H0Y7A7,Homo sapiens,Active,,Metazoa
H0Y8A4,,DELETED,,
H2L075,Caenorhabditis elegans,Active,,Metazoa
H9KV28,,DELETED,,
J3QMG3,,DELETED,,
J3QNM3,,DELETED,,
J3QPW1,,DELETED,,
M3WVY3,,DELETED,,
O02916,Homo sapiens,Active,,Metazoa
O14547,Homo sapiens,Active,,Metazoa
O14897,Homo sapiens,Active,,Metazoa
O15142,,DEMERGED,"P61160,P61161",
O15441,Homo sapiens,Active,,Metazoa
O17244,,DELETED,,
O43328,Homo sapiens,Active,,Metazoa
O60361,,DELETED,,
O75918,,DEMERGED,"P84101,P84102",
O75992,Homo sapiens,Active,,Metazoa
P00001,,DEMERGED,"P99999,P99998",
P02278,,DEMERGED,"P62807,P62808",
P02304,,DEMERGED,"P62799,P62798,P62797,P62796,P62795,P62794,P62800,P62801,P62802,P62803,P62804,P62805,P62806",
P02403,,DEMERGED,"P61927,P61928",
P02404,,DEMERGED,"P62891,P62892,P62893",
P02433,,DEMERGED,"P62912,P62911,P62910",
P02570,,DEMERGED,"P60713,P60712,P60711,P60710,P60709,P60708,P60707,P60706",
P02571,,DEMERGED,"P63260,P63259,P63258,P63257,P63256,P63261",
P04643,,DEMERGED,"P62280,P62281,P62282",
P04645,,DEMERGED,"P62888,P62889,P62890",
P04720,,DEMERGED,"P68105,P68103,P68104",
P04765,,DEMERGED,"P60842,P60843",
P05217,,DEMERGED,"P68372,P68371",
P06351,,DEMERGED,"P84248,P84249,P84250,P84247,P84245,P84244,P84243,P84246",
P06366,,DEMERGED,"P62263,P62265,P62264",
P08107,,DEMERGED,"P0DMV8,P0DMV9",
P08129,,DEMERGED,"P62136,P62137,P62138,P62139",
P08526,,DEMERGED,"P61353,P61355,P61354",
P08578,,DEMERGED,"P62303,P62305,P62304",
P09058,,DEMERGED,"P62241,P62242,P62243",
P09896,,DEMERGED,"P83883,P83881,P83882,P83884",
P0DN79,,DELETED,,
P10660,,DEMERGED,"P62755,P62754,P62753",
P11518,,DEMERGED,"P62424,P62425",
P12750,,DEMERGED,"P62701,P62702,P62703,P62704,P62705",
P12751,,DEMERGED,"P61515,P61514,P61513",
P12947,,DEMERGED,"P62900,P62899,P62901,P62902",
P13641,,DEMERGED,"P62314,P62315",
P13862,,DEMERGED,"P67874,P67873,P67870,P67871,P67872,P67869,P67868",
P14118,,DEMERGED,"P84098,P84099,P84100",
P14798,,DEMERGED,"P62979,P62978",
