uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	evidence	organism
Q5JVS0	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q7Z3E1	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
O43791	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q9UPQ9	CDCODE	miRISC condensate	mirisc	NotInformed	unmapped	NULL	NULL
P0A9A6	CDCODE	FtsZ condensate	ftsz_droplet	NotInformed	unmapped	NULL	NULL
Q02794	CDCODE	Cytoplasmic protein granule	cytoplasmic_rnp_granule	NotInformed	unmapped	NULL	NULL
P05067	CDCODE	Nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q5BI67	CDCODE	Sec-body	sec_body	NotInformed	unmapped	NULL	NULL
P91870	CDCODE	Pericentriolar matrix	centrosome	NotInformed	unmapped	NULL	NULL
Q13342	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
A0QSY1	CDCODE	ABC transporter condensate	bacterial_rnp_body	NotInformed	unmapped	NULL	NULL
Q00613	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
A1Z813	CDCODE	Sec-body	sec_body	NotInformed	unmapped	NULL	NULL
Q8MT06	CDCODE	Nucleolus	nucleolus	NotInformed	unmapped	NULL	NULL
Q14149	CDCODE	MORC3 nuclear body	morc3_nuclear_body	NotInformed	unmapped	NULL	NULL
Q22053	CDCODE	Nucleolus	nucleolus	NotInformed	unmapped	NULL	NULL
Q04726	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
P14866	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
P35972	CDCODE	Viral factory	viral_factory	NotInformed	unmapped	NULL	NULL
Q16082	CDCODE	Nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q14103	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
P09651	CDCODE	Sam68 nuclear body	sam68_nuclear_body	NotInformed	unmapped	NULL	NULL
Q9GZV5	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P50750	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P08047	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
B1PRL2	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P35222	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P31271	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q15059	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q15648	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q01844	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q13950	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P20226	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P35453	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q13627	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P40763	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q9Y2X0	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
O60885	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P03372	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q16236	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q16198	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
Q15561	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P05453	CDCODE	Sup35 condensate	sup35_condensate	NotInformed	unmapped	NULL	NULL
Q13501	CDCODE	P62 body	p62_body	NotInformed	unmapped	NULL	NULL
Q500V5	CDCODE	Heterochromatin	heterochromatin	NotInformed	unmapped	NULL	NULL
P26568	CDCODE	Heterochromatin	heterochromatin	NotInformed	unmapped	NULL	NULL
Q9UPQ9	CDCODE	GW-body	p_body	NotInformed	unmapped	NULL	NULL
P0C093	CDCODE	FtsZ/SlmA body	ftsz_droplet	NotInformed	unmapped	NULL	NULL
P26569	CDCODE	Heterochromatin	heterochromatin	NotInformed	unmapped	NULL	NULL
P35974	CDCODE	Viral factory	viral_factory	NotInformed	unmapped	NULL	NULL
P46937	CDCODE	Transcriptional condensate	transcriptional_condensate	NotInformed	unmapped	NULL	NULL
P23771	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
P08621	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q12888	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q9UER7	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
P02545	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q14103	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q15648	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q01844	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
O60885	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q12988	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
P43243	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
P09651	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
P06401	CDCODE	Leucocyte nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q7YU08	CDCODE	Nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q9W1V3	CDCODE	Nuclear body	nuclear_body	NotInformed	unmapped	NULL	NULL
Q22053	CDCODE	Dense fibrillar component	nucleolus	NotInformed	unmapped	NULL	NULL
M9NFQ7	CDCODE	Nucleolus	nucleolus	NotInformed	unmapped	NULL	NULL
Q7KTV5	CDCODE	Nucleolus	nucleolus	NotInformed	unmapped	NULL	NULL
M9PF20	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q8SWR8	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
M9NFQ7	CDCODE	Stress granule	stress_granule	NotInformed	unmapped	NULL	NULL
Q9VNF8	CDCODE	Sec-body	sec_body	NotInformed	unmapped	NULL	NULL
