uniprot_id	source_db	source_mlo	unified_mlo	source_role	unified_role	dataset_active	evidence	organism
O95486	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37300835	Homo sapiens
O94855	PhaSepDB	Sec body	sec_body	driver	driver	1	36325988	Homo sapiens
O94979	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37300835	Homo sapiens
Q9P0U3	PhaSepDB	NotInformed	NotInformed	driver	driver	1	40022729	Homo sapiens
G5EC37	PhaSepDB	P granule	p_granule	driver	driver	1	30173914	Caenorhabditis elegans
Q8NC51	PhaSepDB	Nucleolus	nucleolus	driver	driver	1	34270902;34631798;39937575	Homo sapiens
Q8NC51	PhaSepDB	Stress granule	stress_granule	driver	driver	1	34270902;34631798;39937575	Homo sapiens
Q8NC51	PhaSepDB	Tau condensate	tau_condensate	driver	driver	1	34270902;34631798;39937575	Homo sapiens
O75920	PhaSepDB	Nucleolus	nucleolus	driver	driver	1	38272228	Homo sapiens
P48594	PhaSepDB	P-body	p_body	driver	driver	1	38459060	Homo sapiens
P58004	PhaSepDB	Stress granule	stress_granule	driver	driver	1	37059726	Homo sapiens
Q01105	PhaSepDB	NotInformed	NotInformed	driver	driver	1	39108706	Homo sapiens
Q9BYW2	PhaSepDB	NotInformed	NotInformed	driver	driver	1	34391778	Homo sapiens
Q7Z333	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37845749	Homo sapiens
Q8W234	PhaSepDB	NotInformed	NotInformed	driver	driver	1	36376475	Arabidopsis thaliana
O75533	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31271494	Homo sapiens
Q99NB9	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31391587	Mus musculus
F4IHJ0	PhaSepDB	NotInformed	NotInformed	driver	driver	1	37721949	Arabidopsis thaliana
P23246	PhaSepDB	Paraspeckle	paraspeckle	driver	driver	1	36354291;37400539;37851801;38668381;35662392;34433054;35608889;39592606;29932899;33704371	Homo sapiens
P23246	PhaSepDB	DNA damage foci	dna_damage_foci	driver	driver	1	37400539;33704371	Homo sapiens
P23246	PhaSepDB	Nucleolus	nucleolus	driver	driver	1	37400539;35662392	Homo sapiens
P23246	PhaSepDB	Stress granule	stress_granule	driver	driver	1	37400539;38668381;39592606	Homo sapiens
Q5FBB7	PhaSepDB	NotInformed	NotInformed	driver	driver	1	31481798	Homo sapiens
